,test_precision,test_recall,test_F1,test_AUROC,external_test_precision,external_test_recall,external_test_F1,external_test_AUROC,external_test_AUPRC
Raw,0.94,0.925,0.931,0.981,0.4,0.071,0.121,0.248,0.568
RA,0.934,0.931,0.932,0.982,0.521,0.446,0.481,0.043,0.506
Raw CR,0.84,0.799,0.812,0.871,0.733,0.982,0.84,0.703,0.858
RA CR,0.791,0.719,0.743,0.84,0.739,0.911,0.816,0.602,0.752
