,test_precision,test_recall,test_F1,test_AUROC,test_AUPRC,external_test_precision,external_test_recall,external_test_F1,external_test_AUROC,external_test_AUPRC
Raw,0.982,0.948,0.963,0.988,0.97,0.404,0.957,0.569,0.501,0.431
RA,0.974,0.964,0.968,0.995,0.967,0.416,0.932,0.575,0.636,0.528
Raw CR,0.97,0.859,0.909,0.93,0.941,1.0,0.026,0.05,0.457,0.42
RA CR,0.917,0.876,0.889,0.883,0.894,0.441,0.419,0.43,0.535,0.504
