,mean,SD
Escherichia,31727.2906,128824.09565
,14.20359,33.12491
Proteus,6128.47863,42967.944549
,1.39521,5.744519
Lymphocrypto,738.93162,4022.94889
,12.64072,86.53408
Cytomegalo,3613.1196581,21348.602538
,0.6886228,4.658073
Enterococcus,6569.08547,63437.8603
,15.01796,30.40479
