,test_precision,test_recall,test_F1,test_AUROC
Raw,0.976,0.983,0.979,0.995
RA,0.956,0.932,0.943,0.989
Raw CR,0.883,0.81,0.842,0.942
RA CR,0.914,0.811,0.858,0.923
Raw simple,0.896,0.787,0.829,0.942
